identificador,rango,titulo,fecha_publicacion,derogada,url
BOE-A-1835-2348,Orden,Real Orden de 30 de octubre de 1835 acerca del lugar en que han de enterrarse las religiosas.,18351107,no,https://www.boe.es/buscar/act.php?id=BOE-A-1835-2348
BOE-A-1851-4969,Real Decreto,"Real Decreto de 24 de octubre de 1851 declarando como extranjeros todos los títulos concedidos por los Monarcas extranjeros, sin atribuir ninguno de los derechos y prerogativas concedidos a los de Castilla.",18511028,no,https://www.boe.es/buscar/act.php?id=BOE-A-1851-4969
BOE-A-1855-3318,Ley,"Ley de 17 de junio de 1855 haciendo extensiva a los sucesores de los que poseen actualmente las Grandezas de España y Títulos de Castilla, la facultad concedida a estos para distribuirlos entre sus hijos.",18550621,no,https://www.boe.es/buscar/act.php?id=BOE-A-1855-3318
BOE-A-1858-8874,Real Decreto,"Real Decreto de 1 de octubre de 1858 declarando no ser necesario el título de Vizconde para la obtención de ningún otro título de Castilla, y más que expresa.",18581019,no,https://www.boe.es/buscar/act.php?id=BOE-A-1858-8874
BOE-A-1862-4073,Ley,Ley del Notariado de 28 de mayo de 1862.,18620529,no,https://www.boe.es/buscar/act.php?id=BOE-A-1862-4073
BOE-A-1864-7880,Real Decreto,"Real Decreto de 10 de octubre de 1864, suprimiendo las Grandezas de España honorarios.",18641011,no,https://www.boe.es/buscar/act.php?id=BOE-A-1864-7880
BOE-A-1866-9441,Orden,"Real Orden de 7 de noviembre de 1866 resolviendo que la denominación con que será autorizado el uso en España de los Títulos de Conde, Marqués y cualquiera otro concedido á súbditos españoles por el Padre Santo, sea la del apellido del agraciado.",18661108,no,https://www.boe.es/buscar/act.php?id=BOE-A-1866-9441
BOE-A-1870-4759,Ley,Ley de 18 de junio de 1870 estableciendo reglas para el ejercicio de la gracia de indulto.,18700624,no,https://www.boe.es/buscar/act.php?id=BOE-A-1870-4759
BOE-A-1880-6366,Real Decreto,Real Decreto de 3 de septiembre de 1880 por el que se aprueba el Reglamento para la ejecución de la Ley de 10 de enero de 1879 sobre propiedad intelectual.,18800906,no,https://www.boe.es/buscar/act.php?id=BOE-A-1880-6366
BOE-A-1882-6036,Real Decreto,Real Decreto de 14 de septiembre de 1882 por el que se aprueba la Ley de Enjuiciamiento Criminal.,18820917,no,https://www.boe.es/buscar/act.php?id=BOE-A-1882-6036
BOE-A-1885-6627,Real Decreto,Real Decreto de 22 de agosto de 1885 por el que se publica el Código de Comercio.,18851016,no,https://www.boe.es/buscar/act.php?id=BOE-A-1885-6627
BOE-A-1887-4896,Orden,"Real Orden de 18 de julio de 1887, por la que se prohíbe la inhumación de cadáveres fuera de los cementerios comunes y se reglamenta la construcción de panteones.",18870721,no,https://www.boe.es/buscar/act.php?id=BOE-A-1887-4896
BOE-A-1889-4763,Real Decreto,Real Decreto de 24 de julio de 1889 por el que se publica el Código Civil.,18890725,no,https://www.boe.es/buscar/act.php?id=BOE-A-1889-4763
BOE-A-1893-6023,Ley,Ley de 21 de agosto de 1893 sobre hipoteca naval.,18930823,no,https://www.boe.es/buscar/act.php?id=BOE-A-1893-6023
BOE-A-1894-1124,Acuerdo Internacional,"Convenio de extradición entre España y Colombia, firmado en Bogotá el día 23 de Julio de 1892.",18940220,no,https://www.boe.es/buscar/act.php?id=BOE-A-1894-1124
BOE-A-1902-3758,Ley,Ley de 15 de mayo de 1902 relativa a la expropiación de inmuebles por el ramo de Guerra.,19020516,no,https://www.boe.es/buscar/act.php?id=BOE-A-1902-3758
BOE-A-1902-8161,Real Decreto,"Real decreto de 12 de noviembre de 1902 aprobatorio del reglamento para la ejecución de la ley de 15 de Mayo de 1902, que establece un régimen especial para la expropiación forzosa en la zona militar de costas y fronteras.",19021123,no,https://www.boe.es/buscar/act.php?id=BOE-A-1902-8161
BOE-A-1905-2635,Real Decreto,Real decreto de 24 de abril de 1905 aprobatorio del adjunto reglamento para la administración y régimen de las reses mostrencas.,19050425,no,https://www.boe.es/buscar/act.php?id=BOE-A-1905-2635
BOE-A-1908-5579,Ley,Ley de 23 de julio de 1908 sobre nulidad de los contratos de préstamos usurarios.,19080724,no,https://www.boe.es/buscar/act.php?id=BOE-A-1908-5579
BOE-A-1912-1123,Ley,Ley de 9 de febrero de 1912 declarando los Tribunales que han de entender en el conocimiento de las causas contra Senadores y Diputados.,19120210,no,https://www.boe.es/buscar/act.php?id=BOE-A-1912-1123
BOE-A-1912-4041,Real Decreto,Real Decreto de 27 de mayo de 1912 sobre concesión y rehabilitación de Títulos y Grandezas de España.,19120529,no,https://www.boe.es/buscar/act.php?id=BOE-A-1912-4041
BOE-A-1913-59,Real Decreto,Real Decreto de 30 de diciembre de 1912 por el que se crea un Museo Nacional de Artes industriales.,19130101,no,https://www.boe.es/buscar/act.php?id=BOE-A-1913-59
BOE-A-1915-143,Ley,Ley por la que se autoriza al Gobierno para la ejecución de las obras de riego de Alto Aragón (rectificada).,19150109,no,https://www.boe.es/buscar/act.php?id=BOE-A-1915-143
BOE-A-1915-660,Ley,"Ley de 31 de enero de 1915 disponiendo que el Ministro de este Departamento proceda con urgencia a crear Bancos de prueba de armas portátiles de fuego y sus municiones, como existen en el extranjero, y que sean dirigidos por los Jefes y Oficiales de Artillería que se designen.",19150202,no,https://www.boe.es/buscar/act.php?id=BOE-A-1915-660
BOE-A-1915-3087,Orden,Real Orden de 29 de mayo de 1915 relativa a caducidad de Títulos y Grandezas de España.,19150530,no,https://www.boe.es/buscar/act.php?id=BOE-A-1915-3087
BOE-A-1917-5068,Real Decreto,"Real Decreto de 22 de septiembre de 1917, estableciendo el crédito mobiliario agrícola sobre la prenda sin desplazamiento y creando el warrant.",19170925,no,https://www.boe.es/buscar/act.php?id=BOE-A-1917-5068
BOE-A-1918-1359,Circular,Real Circular de 7 de marzo de 1918 reglamentando el derecho a obtener certificaciones y devoluciones de documentos presentados por los particulares en los expedientes relativos a títulos nobiliarios y Grandezas de España.,19180310,no,https://www.boe.es/buscar/act.php?id=BOE-A-1918-1359
BOE-A-1918-3943,Ley,Ley de 22 de julio de 1918 relativa a la conmemoración del duodécimo Centenario de la batalla de Covadonga.,19180724,no,https://www.boe.es/buscar/act.php?id=BOE-A-1918-3943
BOE-A-1918-4414,Real Decreto,"Real decreto de 16 de agosto de 1918 creando el Parque Nacional del Valle de Ordesa o del río Ara, en el Pirineo del Alto Aragón, fijando sus límites y extensión y los del Parque Nacional de Covadonga.",19180818,no,https://www.boe.es/buscar/act.php?id=BOE-A-1918-4414
BOE-A-1922-4692,Real Decreto,Real Decreto de 8 de julio de 1922 relativo a la rehabilitación de Grandezas de España y Títulos del Reino.,19220712,no,https://www.boe.es/buscar/act.php?id=BOE-A-1922-4692
BOE-A-1922-7228,Orden,"Real Orden de 21 de octubre de 1922 dictando reglas para dar cumplimiento a lo prevenido en el artículo 18 del Real Decreto de 8 de Julio de 1922, relativo a Grandezas y Títulos.",19221024,no,https://www.boe.es/buscar/act.php?id=BOE-A-1922-7228
